"species","taxa","tank","treat","B"
"Corophium volutator","A_d","E1","3HW",44.6385154061627
"Corophium volutator","A_d","E2","3HW",2.30527544351072
"Corophium volutator","A_d","F1","1HW",0.838281979458358
"Corophium volutator","A_d","F2","1HW",3.98183940242766
"Hydrobia ulvae","G_d","A1","0HW",116.827896991832
"Hydrobia ulvae","G_d","A2","0HW",66.8578423602245
"Hydrobia ulvae","G_d","B2","3HW",64.8447254533335
"Hydrobia ulvae","G_d","C1","1HW",122.62480068643
"Hydrobia ulvae","G_d","C2","1HW",61.075353341276
"Hydrobia ulvae","G_d","D1","0HW",60.7553698422454
"Hydrobia ulvae","G_d","D2","0HW",116.777197073595
"Hydrobia ulvae","G_d","E1","3HW",125.011126111147
"Hydrobia ulvae","G_d","E2","3HW",37.1374569933829
"Hydrobia ulvae","G_d","F1","1HW",76.6192609630602
"Hydrobia ulvae","G_d","F2","1HW",136.516980905378
"Jaera albifrons","I_d","A1","0HW",1.93661808174807
"Jaera albifrons","I_d","A2","0HW",0.780752721731312
"Jaera albifrons","I_d","B2","3HW",10.1170324977938
"Jaera albifrons","I_d","C1","1HW",1.25350098865846
"Jaera albifrons","I_d","C2","1HW",6.38805718928818
"Jaera albifrons","I_d","D1","0HW",5.64695476722634
"Jaera albifrons","I_d","D2","0HW",8.23931102101428
"Jaera albifrons","I_d","E1","3HW",6.10628159747694
"Jaera albifrons","I_d","E2","3HW",2.13955328492901
"Jaera albifrons","I_d","F1","1HW",4.23444443817428
"Jaera albifrons","I_d","F2","1HW",8.34628980192967
"Macoma balthica","B_f","A1","0HW",2.51164920634923
"Macoma balthica","B_f","A2","0HW",10.3205949206349
"Macoma balthica","B_f","B2","3HW",0.475253333333325
"Macoma balthica","B_f","C1","1HW",11.39
"Macoma balthica","B_f","C2","1HW",7.68373015873017
"Macoma balthica","B_f","D1","0HW",13.6999047619047
"Macoma balthica","B_f","D2","0HW",3.01397904761907
"Macoma balthica","B_f","E1","3HW",0.87129777777777
"Macoma balthica","B_f","E2","3HW",2.49507999999999
"Macoma balthica","B_f","F1","1HW",4.47464285714287
"Macoma balthica","B_f","F2","1HW",2.12432539682541
"Marenzelleria viridis","P_d","A1","0HW",687.387959241668
"Marenzelleria viridis","P_d","A2","0HW",1088.72429667519
"Marenzelleria viridis","P_d","B2","3HW",1434.35105752446
"Marenzelleria viridis","P_d","C1","1HW",1287.91445621727
"Marenzelleria viridis","P_d","C2","1HW",1243.34679494986
"Marenzelleria viridis","P_d","D1","0HW",983.671952259165
"Marenzelleria viridis","P_d","D2","0HW",618.489993098689
"Marenzelleria viridis","P_d","E1","3HW",1025.96575325782
"Marenzelleria viridis","P_d","E2","3HW",748.782186497788
"Marenzelleria viridis","P_d","F1","1HW",1074.17159095522
"Marenzelleria viridis","P_d","F2","1HW",1183.31688385499
"Microdeutopus sp.","A_d","A1","0HW",31.4023599157879
"Microdeutopus sp.","A_d","A2","0HW",47.6843226969204
"Microdeutopus sp.","A_d","B2","3HW",40.2507240550546
"Microdeutopus sp.","A_d","C1","1HW",99.4361730641713
"Microdeutopus sp.","A_d","C2","1HW",16.6966410498966
"Microdeutopus sp.","A_d","D1","0HW",44.7155382978211
"Microdeutopus sp.","A_d","D2","0HW",30.457616772469
"Microdeutopus sp.","A_d","E1","3HW",16.8923505387019
"Microdeutopus sp.","A_d","E2","3HW",35.5712039562632
"Microdeutopus sp.","A_d","F1","1HW",16.1889714242941
"Microdeutopus sp.","A_d","F2","1HW",34.4680116071248
"Mya truncata","B_f","A1","0HW",11.2663955669224
"Mya truncata","B_f","A2","0HW",0.347251918158572
"Mya truncata","B_f","B2","3HW",0.655920289855085
"Mya truncata","B_f","C1","1HW",0
"Mya truncata","B_f","C2","1HW",0
"Mya truncata","B_f","D1","0HW",0
"Mya truncata","B_f","D2","0HW",0.463002557544792
"Mya truncata","B_f","E1","3HW",1.42759121909635
"Mya truncata","B_f","E2","3HW",0.0771670929241176
"Mya truncata","B_f","F1","1HW",0.154334185848235
"Mya truncata","B_f","F2","1HW",0.347251918158572
"Mytilus edulis","B_f","A1","0HW",107.438022793446
"Mytilus edulis","B_f","A2","0HW",127.493542188421
"Mytilus edulis","B_f","B2","3HW",103.340121671891
"Mytilus edulis","B_f","C1","1HW",81.0335166078924
"Mytilus edulis","B_f","C2","1HW",84.9107130046045
"Mytilus edulis","B_f","D1","0HW",36.5320482307113
"Mytilus edulis","B_f","D2","0HW",96.3611668332629
"Mytilus edulis","B_f","E1","3HW",110.490090122588
"Mytilus edulis","B_f","E2","3HW",93.5384609340348
"Mytilus edulis","B_f","F1","1HW",84.8336419702711
"Mytilus edulis","B_f","F2","1HW",130.569952515984
"Hediste diversicolor","P_o","A1","0HW",406.772014005602
"Hediste diversicolor","P_o","A2","0HW",1024.88217180205
"Hediste diversicolor","P_o","B2","3HW",1003.02941176471
"Hediste diversicolor","P_o","C1","1HW",546.661695611578
"Hediste diversicolor","P_o","C2","1HW",591.869366946779
"Hediste diversicolor","P_o","D1","0HW",490.875969187675
"Hediste diversicolor","P_o","D2","0HW",549.640912231559
"Hediste diversicolor","P_o","E1","3HW",897.568033613445
"Hediste diversicolor","P_o","E2","3HW",762.111299719888
"Hediste diversicolor","P_o","F1","1HW",966.259111111111
"Hediste diversicolor","P_o","F2","1HW",796.840070961718
"Polydora cornuta","P_d","A1","0HW",70.2622823042259
"Polydora cornuta","P_d","A2","0HW",2.27386026874518
"Polydora cornuta","P_d","B2","3HW",0.227386026874493
"Polydora cornuta","P_d","C1","1HW",0.909544107497971
"Polydora cornuta","P_d","C2","1HW",0
"Polydora cornuta","P_d","D1","0HW",69.5801242236024
"Polydora cornuta","P_d","D2","0HW",2.72863232249417
"Polydora cornuta","P_d","E1","3HW",2.72863232249417
"Polydora cornuta","P_d","E2","3HW",10.9145292899769
"Polydora cornuta","P_d","F1","1HW",0.682158080623731
"Polydora cornuta","P_d","F2","1HW",0.909544107498224
"Pygospio elegans","P_d","A1","0HW",0.454772053748986
"Pygospio elegans","P_d","A2","0HW",2.27386026874518
"Pygospio elegans","P_d","B2","3HW",0.227386026874493
"Pygospio elegans","P_d","C1","1HW",2.27386026874518
"Pygospio elegans","P_d","C2","1HW",0
"Pygospio elegans","P_d","D1","0HW",4.09294848374138
"Pygospio elegans","P_d","D2","0HW",4.77510656436486
"Pygospio elegans","P_d","E1","3HW",0.909544107498224
"Pygospio elegans","P_d","E2","3HW",2.72863232249417
"Pygospio elegans","P_d","F1","1HW",2.04647424187069
"Pygospio elegans","P_d","F2","1HW",0.227386026874493
