"species","taxa","tank","treat","B","alpha","PB","RB","P","R","G","C","E"
"Hydrobia ulvae","G_d","A1","0HW",116.827896991832,0.254237288135593,0.0457910378564588,0.0705479810877962,5.34967065384345,8.24197226750677,13.5916429213502,53.4604621573109,39.8688192359607
"Hydrobia ulvae","G_d","A2","0HW",66.8578423602245,0.254237288135593,0.0457910378564588,0.0705479810877962,3.06148999051819,4.71668579839998,7.77817578891817,30.5941581030781,22.81598231416
"Hydrobia ulvae","G_d","B2","3HW",64.8447254533335,0.254237288135593,0.0602287068264871,0.0927913816554415,3.90551395857287,6.01703166788259,9.92254562645546,39.0286794640581,29.1061338376027
"Hydrobia ulvae","G_d","C1","1HW",122.62480068643,0.254237288135593,0.0602287068264871,0.0927913816554415,7.38553317019938,11.3785246809169,18.7640578511163,73.8052942143908,55.0412363632745
"Hydrobia ulvae","G_d","C2","1HW",61.075353341276,0.254237288135593,0.0602287068264871,0.0927913816554415,3.67848955071582,5.66726642163128,9.3457559723471,36.7599734912319,27.4142175188848
"Hydrobia ulvae","G_d","D1","0HW",60.7553698422454,0.254237288135593,0.0457910378564588,0.0705479810877962,2.78205144042941,4.28616868261279,7.0682201230422,27.8016658172993,20.7334456942571
"Hydrobia ulvae","G_d","D2","0HW",116.777197073595,0.254237288135593,0.0457910378564588,0.0705479810877962,5.34734905196816,8.23839549063386,13.585744542602,53.4372618675679,39.8515173249659
"Hydrobia ulvae","G_d","E1","3HW",125.011126111147,0.254237288135593,0.0602287068264871,0.0927913816554415,7.52925846459728,11.599955114156,19.1292135787532,75.2415734097628,56.1123598310095
"Hydrobia ulvae","G_d","E2","3HW",37.1374569933829,0.254237288135593,0.0602287068264871,0.0927913816554415,2.23674100953573,3.44603594558554,5.68277695512127,22.352256023477,16.6694790683557
"Hydrobia ulvae","G_d","F1","1HW",76.6192609630602,0.254237288135593,0.0602287068264871,0.0927913816554415,4.61467900580626,7.10960708618119,11.7242860919875,46.1155252951506,34.3912392031632
"Hydrobia ulvae","G_d","F2","1HW",136.516980905378,0.254237288135593,0.0602287068264871,0.0927913816554415,8.22224121978717,12.6675992776396,20.8898404974267,82.1667059565452,61.2768654591185
"Jaera albifrons","I_d","A1","0HW",1.93661808174807,0.8488,0.0328,0.0936442816409915,0.0635210730813367,0.181353209078253,0.24487428215959,0.288494677379347,0.0436203952197573
"Jaera albifrons","I_d","A2","0HW",0.780752721731312,0.8488,0.0328,0.131574684129069,0.025608689272787,0.102727292744708,0.128335982017495,0.151196962791582,0.0228609807740872
"Jaera albifrons","I_d","B2","3HW",10.1170324977938,0.8488,0.0657879478710549,0.189367696116035,0.665578806574625,1.91583913563827,2.58141794221289,3.04125582258823,0.45983788037534
"Jaera albifrons","I_d","C1","1HW",1.25350098865846,0.8488,0.0657879478710549,0.119292030567355,0.0824652576981789,0.149532678255255,0.231997935953434,0.273324618229776,0.0413266822763421
"Jaera albifrons","I_d","C2","1HW",6.38805718928818,0.8488,0.0657879478710549,0.0749742314926559,0.420257173366209,0.478939678498017,0.899196851864226,1.05937423640931,0.160177384545088
"Jaera albifrons","I_d","D1","0HW",5.64695476722634,0.8488,0.0328,0.233161571363124,0.185220116365024,1.31665284694297,1.501872963308,1.7694073554524,0.267534392144403
"Jaera albifrons","I_d","D2","0HW",8.23931102101428,0.8488,0.0328,0.111869540406913,0.270249401489268,0.921727937190482,1.19197733867975,1.40430883444834,0.212331495768589
"Jaera albifrons","I_d","E1","3HW",6.10628159747694,0.8488,0.0657879478710549,0.149275218771788,0.401719735420795,0.911516521345514,1.31323625676631,1.54716806876332,0.233931811997014
"Jaera albifrons","I_d","E2","3HW",2.13955328492901,0.8488,0.0657879478710549,0.0644969052903626,0.140756819976254,0.137994565581751,0.278751385558005,0.328406439158818,0.0496550536008133
"Jaera albifrons","I_d","F1","1HW",4.23444443817428,0.8488,0.0657879478710549,0.0295855158294965,0.278575409961488,0.125278222954729,0.403853632916216,0.47579362973164,0.071939996815424
"Jaera albifrons","I_d","F2","1HW",8.34628980192967,0.8488,0.0657879478710549,0.0456308769734951,0.549085278406067,0.38084852313699,0.929933801543056,1.09558647684149,0.165652675298433
"Macoma balthica","B_f","A1","0HW",2.51164920634923,0.183471308285573,0.0835518267016053,0.0155560811836932,0.209852879224116,0.0390714189589273,0.248924298183043,1.35674782345582,1.10782352527278
"Macoma balthica","B_f","A2","0HW",10.3205949206349,0.183471308285573,0.0835518267016053,0.0155560811836932,0.862304558266355,0.160548012449408,1.02285257071576,5.57500014729112,4.55214757657535
"Macoma balthica","B_f","B2","3HW",0.475253333333325,0.183471308285573,0.106998545326968,0.0199215040933558,0.0508514153284582,0.00946776122538083,0.060319176553839,0.328766263877904,0.268447087324065
"Macoma balthica","B_f","C1","1HW",11.39,0.183471308285573,0.106998545326968,0.0199215040933558,1.21871343127416,0.226905931623323,1.44561936289748,7.87926666248751,6.43364729959002
"Macoma balthica","B_f","C2","1HW",7.68373015873017,0.183471308285573,0.106998545326968,0.0199215040933558,0.822147949669077,0.153071461809384,0.975219411478462,5.31537830405904,4.34015889258058
"Macoma balthica","B_f","D1","0HW",13.6999047619047,0.183471308285573,0.0835518267016053,0.0155560811836932,1.14465206849516,0.213116830685055,1.35776889918022,7.40044267339528,6.04267377421506
"Macoma balthica","B_f","D2","0HW",3.01397904761907,0.183471308285573,0.0835518267016053,0.0155560811836932,0.251823455068938,0.0468857027507126,0.29870915781965,1.62809738814698,1.32938823032733
"Macoma balthica","B_f","E1","3HW",0.87129777777777,0.183471308285573,0.106998545326968,0.0199215040933558,0.0932275947688408,0.0173575622465317,0.110585157015372,0.60273815044283,0.492152993427457
"Macoma balthica","B_f","E2","3HW",2.49507999999999,0.183471308285573,0.106998545326968,0.0199215040933558,0.266969930474409,0.04970574643325,0.316675676907659,1.72602288535902,1.40934720845136
"Macoma balthica","B_f","F1","1HW",4.47464285714287,0.183471308285573,0.106998545326968,0.0199215040933558,0.478780276571993,0.0891416159948769,0.56792189256687,3.09542618883438,2.52750429626751
"Macoma balthica","B_f","F2","1HW",2.12432539682541,0.183471308285573,0.106998545326968,0.0199215040933558,0.227299727261452,0.0423197570884772,0.26961948434993,1.46954576641633,1.1999262820664
"Marenzelleria viridis","P_d","A1","0HW",687.387959241668,0.740223463687151,0.0125780842717393,0.0365901832014583,8.64602367872056,25.1516513591292,33.7976750378497,45.6587459001895,11.8610708623397
"Marenzelleria viridis","P_d","A2","0HW",1088.72429667519,0.740223463687151,0.0125780842717393,0.0365901832014583,13.6940659522706,39.8366214712241,53.5306874234947,72.3169286702306,18.7862412467359
"Marenzelleria viridis","P_d","B2","3HW",1434.35105752446,0.740223463687151,0.021966679813715,0.0517463333332185,31.5079304211032,74.2224079395151,105.730338360618,142.835702389062,37.1053640284434
"Marenzelleria viridis","P_d","C1","1HW",1287.91445621727,0.740223463687151,0.021966679813715,0.0517463333332185,28.2912044871796,66.6448507560897,94.9360552432693,128.253236894681,33.3171816514115
"Marenzelleria viridis","P_d","C2","1HW",1243.34679494986,0.740223463687151,0.021966679813715,0.0517463333332185,27.3122009420724,64.3386377002646,91.6508386423369,123.815095222478,32.1642565801409
"Marenzelleria viridis","P_d","D1","0HW",983.671952259165,0.740223463687151,0.0125780842717393,0.0365901832014583,12.372708711262,35.992736943299,48.365445654561,65.3389794125768,16.9735337580158
"Marenzelleria viridis","P_d","D2","0HW",618.489993098689,0.740223463687151,0.0125780842717393,0.0365901832014583,7.77941925442274,22.6306621557497,30.4100814101724,41.0822986597801,10.6722172496077
"Marenzelleria viridis","P_d","E1","3HW",1025.96575325782,0.740223463687151,0.021966679813715,0.0517463333332185,22.5370612016515,53.089965856546,75.6270270581975,102.167832780508,26.5408057223109
"Marenzelleria viridis","P_d","E2","3HW",748.782186497788,0.740223463687151,0.021966679813715,0.0517463333332185,16.4482585410103,38.7467326164907,55.194991157501,74.5653088090014,19.3703176515004
"Marenzelleria viridis","P_d","F1","1HW",1074.17159095522,0.740223463687151,0.021966679813715,0.0517463333332185,23.5959834035022,55.5844412026426,79.1804246061448,106.968271732075,27.7878471259301
"Marenzelleria viridis","P_d","F2","1HW",1183.31688385499,0.740223463687151,0.021966679813715,0.0517463333332185,25.9935431058055,61.2323099107858,87.2258530165913,117.83719011298,30.6113370963887
"Microdeutopus sp.","A_d","A1","0HW",31.4023599157879,0.8675,0.0109,0.0512405546726006,0.342285723082089,1.60907434011361,1.9513600631957,2.24940641290571,0.298046349710006
"Microdeutopus sp.","A_d","A2","0HW",47.6843226969204,0.8675,0.0109,0.0512405546726006,0.519759117396432,2.44337114417748,2.96313026157391,3.41571211708808,0.45258185551417
"Microdeutopus sp.","A_d","B2","3HW",40.2507240550546,0.8675,0.0169,0.0793815259589652,0.680237236530423,3.19516389644346,3.87540113297388,4.46732119074799,0.591920057774109
"Microdeutopus sp.","A_d","C1","1HW",99.4361730641713,0.8675,0.0169,0.0793815259589652,1.68047132478449,7.89339515335366,9.57386647813816,11.0361573235022,1.46229084536404
"Microdeutopus sp.","A_d","C2","1HW",16.6966410498966,0.8675,0.0169,0.0793815259589652,0.282173233743252,1.32540484492989,1.60757807867314,1.85311594083359,0.245537862160451
"Microdeutopus sp.","A_d","D1","0HW",44.7155382978211,0.8675,0.0109,0.0512405546726006,0.48739936744625,2.29124898486427,2.77864835231052,3.20305285568936,0.42440450337884
"Microdeutopus sp.","A_d","D2","0HW",30.457616772469,0.8675,0.0109,0.0512405546726006,0.331988022819912,1.56066517742682,1.89265320024673,2.18173279567346,0.289079595426734
"Microdeutopus sp.","A_d","E1","3HW",16.8923505387019,0.8675,0.0169,0.0793815259589652,0.285480724104061,1.3409405627959,1.62642128689996,1.87483721832849,0.248415931428524
"Microdeutopus sp.","A_d","E2","3HW",35.5712039562632,0.8675,0.0169,0.0793815259589652,0.601153346860848,2.82369645024575,3.4248497971066,3.94795365660703,0.523103859500431
"Microdeutopus sp.","A_d","F1","1HW",16.1889714242941,0.8675,0.0169,0.0793815259589652,0.27359361707057,1.28510525536654,1.55869887243711,1.79677103450964,0.238072162072527
"Microdeutopus sp.","A_d","F2","1HW",34.4680116071248,0.8675,0.0169,0.0793815259589652,0.582509396160409,2.73612335814489,3.3186327543053,3.82551326144703,0.506880507141731
"Mya truncata","B_f","A1","0HW",11.2663955669224,0.665198237885463,0.0409244494331847,0.0951899088137512,0.461071035672773,1.072447166675,1.53351820234777,2.30535517836386,0.771836976016095
"Mya truncata","B_f","A2","0HW",0.347251918158572,0.665198237885463,0.0409244494331847,0.0951899088137512,0.0142110935652569,0.0330548784249147,0.0472659719901716,0.0710554678262844,0.0237894958361128
"Mya truncata","B_f","B2","3HW",0.655920289855085,0.665198237885463,0.0648365214145339,0.150809177563321,0.0425275899194165,0.0989187994601407,0.141446389379557,0.212637949597083,0.0711915602175255
"Mya truncata","B_f","C1","1HW",0,0.665198237885463,0.0648365214145339,0.150809177563321,0,0,0,0,0
"Mya truncata","B_f","C2","1HW",0,0.665198237885463,0.0648365214145339,0.150809177563321,0,0,0,0,0
"Mya truncata","B_f","D1","0HW",0,0.665198237885463,0.0409244494331847,0.0951899088137512,0,0,0,0,0
"Mya truncata","B_f","D2","0HW",0.463002557544792,0.665198237885463,0.0409244494331847,0.0951899088137512,0.018948124753677,0.0440731712332223,0.0630212959868993,0.094740623768385,0.0317193277814857
"Mya truncata","B_f","E1","3HW",1.42759121909635,0.665198237885463,0.0648365214145339,0.150809177563321,0.0925600486481409,0.215293857648539,0.30785390629668,0.462800243240705,0.154946336944024
"Mya truncata","B_f","E2","3HW",0.0771670929241176,0.665198237885463,0.0648365214145339,0.150809177563321,0.00500324587287188,0.0116375058188386,0.0166407516917104,0.0250162293643594,0.00837547767264896
"Mya truncata","B_f","F1","1HW",0.154334185848235,0.665198237885463,0.0648365214145339,0.150809177563321,0.0100064917457438,0.0232750116376771,0.0332815033834209,0.0500324587287189,0.0167509553452979
"Mya truncata","B_f","F2","1HW",0.347251918158572,0.665198237885463,0.0648365214145339,0.150809177563321,0.0225146064279263,0.05236877618478,0.0748833826127063,0.112573032139631,0.037689649526925
"Mytilus edulis","B_f","A1","0HW",107.438022793446,0.81,0.0171,0.0942839378784473,1.83719018976793,10.1296798668405,11.9668700566084,14.7739136501339,2.80704359352544
"Mytilus edulis","B_f","A2","0HW",127.493542188421,0.81,0.0171,0.0942839378784473,2.18013957142199,12.0205932115963,14.2007327830182,17.5317688679238,3.33103608490551
"Mytilus edulis","B_f","B2","3HW",103.340121671891,0.81,0.0265,0.145759430744847,2.73851322430512,15.0627973079981,17.8013105323033,21.9769265830904,4.17561605078718
"Mytilus edulis","B_f","C1","1HW",81.0335166078924,0.81,0.0265,0.145759430744847,2.14738819010915,11.8113992520195,13.9587874421287,17.2330709162082,3.27428347407957
"Mytilus edulis","B_f","C2","1HW",84.9107130046045,0.81,0.0265,0.145759430744847,2.25013389462202,12.3765371916902,14.6266710863123,18.0576186250769,3.4309475387646
"Mytilus edulis","B_f","D1","0HW",36.5320482307113,0.81,0.0171,0.0942839378784473,0.624698024745164,3.44438536595683,4.06908339070199,5.02355974160739,0.954476350905405
"Mytilus edulis","B_f","D2","0HW",96.3611668332629,0.81,0.0171,0.0942839378784473,1.6477759528488,9.08531026760205,10.7330862204508,13.2507237289517,2.51763750850082
"Mytilus edulis","B_f","E1","3HW",110.490090122588,0.81,0.0265,0.145759430744847,2.92798738824859,16.1049726392153,19.0329600274639,23.4974815153876,4.46452148792364
"Mytilus edulis","B_f","E2","3HW",93.5384609340348,0.81,0.0265,0.145759430744847,2.47876921475192,13.634112818494,16.112882033246,19.8924469546246,3.77956492137868
"Mytilus edulis","B_f","F1","1HW",84.8336419702711,0.81,0.0265,0.145759430744847,2.24809151221218,12.3653033615989,14.6133948738111,18.0412282392729,3.42783336546185
"Mytilus edulis","B_f","F2","1HW",130.569952515984,0.81,0.0265,0.145759430744847,3.46010374167359,19.0318019511116,22.4919056927852,27.7677848059076,5.27587911312245
"Nereis diversicolor","P_o","A1","0HW",406.772014005602,0.808,0.0038,0.0155252449074415,1.54573365322129,6.31523513893018,7.86096879215147,9.72892177246469,1.86795298031322
"Nereis diversicolor","P_o","A2","0HW",1024.88217180205,0.808,0.0038,0.0155252449074415,3.89455225284781,15.9115467184974,19.8060989713452,24.5124987269124,4.70639975556717
"Nereis diversicolor","P_o","B2","3HW",1003.02941176471,0.808,0.0044,0.0176332885750925,4.41332941176471,17.6867070669523,22.100036478717,27.3515302954419,5.25149381672484
"Nereis diversicolor","P_o","C1","1HW",546.661695611578,0.808,0.0044,0.0176332885750925,2.40531146069094,9.63944343166833,12.0447548923593,14.9068748667813,2.86211997442201
"Nereis diversicolor","P_o","C2","1HW",591.869366946779,0.808,0.0044,0.0176332885750925,2.60422521456583,10.4366033461299,13.0408285606957,16.1396393077917,3.098810747096
"Nereis diversicolor","P_o","D1","0HW",490.875969187675,0.808,0.0038,0.0155252449074415,1.86532868291316,7.62096964081634,9.4862983237295,11.7404682224375,2.254169898708
"Nereis diversicolor","P_o","D2","0HW",549.640912231559,0.808,0.0038,0.0155252449074415,2.08863546647992,8.53330977354449,10.6219452400244,13.1459718317134,2.52402659168897
"Nereis diversicolor","P_o","E1","3HW",897.568033613445,0.808,0.0044,0.0176332885750925,3.94929934789916,15.8270761524842,19.7763755003834,24.4757122529497,4.69933675256634
"Nereis diversicolor","P_o","E2","3HW",762.111299719888,0.808,0.0044,0.0176332885750925,3.35328971876751,13.4385284742996,16.7918181930671,20.7819532092415,3.99013501617436
"Nereis diversicolor","P_o","F1","1HW",966.259111111111,0.808,0.0044,0.0176332885750925,4.25154008888889,17.0383257445346,21.2898658334235,26.3488438532469,5.0589780198234
"Nereis diversicolor","P_o","F2","1HW",796.840070961718,0.808,0.0044,0.0176332885750925,3.50609631223156,14.0509109194652,17.5570072316967,21.7289693461593,4.17196211446259
"Polydora cornuta","P_d","A1","0HW",70.2622823042259,0.740223463687151,0.0079,0.0365901832014583,0.555072030203384,2.57090978166421,3.12598181186759,4.2230244854664,1.09704267359882
"Polydora cornuta","P_d","A2","0HW",2.27386026874518,0.740223463687151,0.0079,0.0365901832014583,0.0179634961230869,0.0832009638079034,0.10116445993099,0.136667459076583,0.0355029991455929
"Polydora cornuta","P_d","B2","3HW",0.227386026874493,0.740223463687151,0.0112,0.0517463333332185,0.00254672350099432,0.0117663931419637,0.014313116642958,0.0193362104082225,0.00502309376526451
"Polydora cornuta","P_d","C1","1HW",0.909544107497971,0.740223463687151,0.0112,0.0517463333332185,0.0101868940039773,0.0470655725678548,0.057252466571832,0.0773448416328901,0.020092375061058
"Polydora cornuta","P_d","C2","1HW",0,0.740223463687151,0.0112,0.0517463333332185,0,0,0,0,0
"Polydora cornuta","P_d","D1","0HW",69.5801242236024,0.740223463687151,0.0079,0.0365901832014583,0.549682981366459,2.54594949252184,3.0956324738883,4.18202424774343,1.08639177385514
"Polydora cornuta","P_d","D2","0HW",2.72863232249417,0.740223463687151,0.0079,0.0365901832014583,0.0215561953477039,0.0998411565694822,0.121397351917186,0.164000950891897,0.0426035989747106
"Polydora cornuta","P_d","E1","3HW",2.72863232249417,0.740223463687151,0.0112,0.0517463333332185,0.0305606820119347,0.141196717703577,0.171757399715512,0.232034524898692,0.0602771251831797
"Polydora cornuta","P_d","E2","3HW",10.9145292899769,0.740223463687151,0.0112,0.0517463333332185,0.122242728047742,0.564786870814323,0.687029598862064,0.928138099594788,0.241108500732724
"Polydora cornuta","P_d","F1","1HW",0.682158080623731,0.740223463687151,0.0112,0.0517463333332185,0.00764017050298579,0.0352991794259041,0.0429393499288899,0.058008631224689,0.0150692812957991
"Polydora cornuta","P_d","F2","1HW",0.909544107498224,0.740223463687151,0.0112,0.0517463333332185,0.0101868940039801,0.0470655725678678,0.0572524665718479,0.0773448416329116,0.0200923750610636
"Pygospio elegans","P_d","A1","0HW",0.454772053748986,0.740223463687151,0.0079,0.0365901832014583,0.00359269922461699,0.0166401927615788,0.0202328919861958,0.0273334918153136,0.00710059982911778
"Pygospio elegans","P_d","A2","0HW",2.27386026874518,0.740223463687151,0.0079,0.0365901832014583,0.0179634961230869,0.0832009638079034,0.10116445993099,0.136667459076583,0.0355029991455929
"Pygospio elegans","P_d","B2","3HW",0.227386026874493,0.740223463687151,0.0112,0.0517463333332185,0.00254672350099432,0.0117663931419637,0.014313116642958,0.0193362104082225,0.00502309376526451
"Pygospio elegans","P_d","C1","1HW",2.27386026874518,0.740223463687151,0.0112,0.0517463333332185,0.025467235009946,0.11766393141965,0.143131166429596,0.193362104082247,0.0502309376526507
"Pygospio elegans","P_d","C2","1HW",0,0.740223463687151,0.0112,0.0517463333332185,0,0,0,0,0
"Pygospio elegans","P_d","D1","0HW",4.09294848374138,0.740223463687151,0.0079,0.0365901832014583,0.0323342930215569,0.149761734854228,0.182096027875785,0.246001426337853,0.0639053984620679
"Pygospio elegans","P_d","D2","0HW",4.77510656436486,0.740223463687151,0.0079,0.0365901832014583,0.0377233418584824,0.174722023996596,0.212445365855079,0.287001664060823,0.0745562982057446
"Pygospio elegans","P_d","E1","3HW",0.909544107498224,0.740223463687151,0.0112,0.0517463333332185,0.0101868940039801,0.0470655725678678,0.0572524665718479,0.0773448416329116,0.0200923750610636
"Pygospio elegans","P_d","E2","3HW",2.72863232249417,0.740223463687151,0.0112,0.0517463333332185,0.0305606820119347,0.141196717703577,0.171757399715512,0.232034524898692,0.0602771251831797
"Pygospio elegans","P_d","F1","1HW",2.04647424187069,0.740223463687151,0.0112,0.0517463333332185,0.0229205115089517,0.105897538277686,0.128818049786638,0.174025893674024,0.0452078438873862
"Pygospio elegans","P_d","F2","1HW",0.227386026874493,0.740223463687151,0.0112,0.0517463333332185,0.00254672350099432,0.0117663931419637,0.014313116642958,0.0193362104082225,0.00502309376526451
