"tank","species","length_µm","length_mm","treatment","temperature"
"A1","A_d",2869.652,2.869652,"0HW","20"
"A1","G_d",3895.395,3.895395,"0HW","20"
"A1","I_d",3965.059,3.965059,"0HW","20"
"A1","B_f",954.783,0.954783,"0HW","20"
"A1","A_d",2492.306,2.492306,"0HW","20"
"A1","G_d",3685.972,3.685972,"0HW","20"
"A1","I_d",3577.542,3.577542,"0HW","20"
"A1","B_f",5190.199,5.190199,"0HW","20"
"A1","A_d",2555.808,2.555808,"0HW","20"
"A1","G_d",3472.884,3.472884,"0HW","20"
"A1","I_d",2747.95,2.74795,"0HW","20"
"A1","B_f",2027.499,2.027499,"0HW","20"
"A1","A_d",3747.343,3.747343,"0HW","20"
"A1","G_d",3979.937,3.979937,"0HW","20"
"A1","I_d",3539.797,3.539797,"0HW","20"
"A1","B_f",1461.419,1.461419,"0HW","20"
"A1","A_d",2716.479,2.716479,"0HW","20"
"A1","G_d",3953.014,3.953014,"0HW","20"
"A1","I_d",1285.372,1.285372,"0HW","20"
"A1","B_f",2797.045,2.797045,"0HW","20"
"A1","A_d",3294.572,3.294572,"0HW","20"
"A1","G_d",3757.017,3.757017,"0HW","20"
"A1","I_d",1791.116,1.791116,"0HW","20"
"A1","B_f",7145.723,7.145723,"0HW","20"
"A1","A_d",3067.409,3.067409,"0HW","20"
"A1","G_d",5346.952,5.346952,"0HW","20"
"A1","I_d",3096.088,3.096088,"0HW","20"
"A1","B_f",1674.183,1.674183,"0HW","20"
"A1","A_d",2163.268,2.163268,"0HW","20"
"A1","G_d",2856.913,2.856913,"0HW","20"
"A1","I_d",3267.833,3.267833,"0HW","20"
"A1","B_f",1811.375,1.811375,"0HW","20"
"A1","A_d",2685.79,2.68579,"0HW","20"
"A1","G_d",3915.744,3.915744,"0HW","20"
"A1","I_d",4084.976,4.084976,"0HW","20"
"A1","B_f",2129.71,2.12971,"0HW","20"
"A1","A_d",3344.813,3.344813,"0HW","20"
"A1","G_d",5036.08,5.03608,"0HW","20"
"A1","I_d",3822.002,3.822002,"0HW","20"
"A1","B_f",5948.67,5.94867,"0HW","20"
"A1","A_d",3017.486,3.017486,"0HW","20"
"A1","G_d",3539.291,3.539291,"0HW","20"
"A1","I_d",3391.018,3.391018,"0HW","20"
"A1","B_f",1695.179,1.695179,"0HW","20"
"A1","A_d",3688.064,3.688064,"0HW","20"
"A1","G_d",4744.986,4.744986,"0HW","20"
"A1","I_d",2313.592,2.313592,"0HW","20"
"A1","B_f",2870.36,2.87036,"0HW","20"
"A1","A_d",4238.601,4.238601,"0HW","20"
"A1","G_d",3339.327,3.339327,"0HW","20"
"A1","I_d",3135.681,3.135681,"0HW","20"
"A1","B_f",4647.595,4.647595,"0HW","20"
"A1","A_d",3698.411,3.698411,"0HW","20"
"A1","G_d",3692.102,3.692102,"0HW","20"
"A1","I_d",2424.644,2.424644,"0HW","20"
"A1","B_f",5566.327,5.566327,"0HW","20"
"A1","A_d",4948.197,4.948197,"0HW","20"
"A1","G_d",4595.668,4.595668,"0HW","20"
"A1","I_d",3037.4,3.0374,"0HW","20"
"A1","B_f",1447.567,1.447567,"0HW","20"
"A1","A_d",3089.996,3.089996,"0HW","20"
"A1","G_d",3786.399,3.786399,"0HW","20"
"A1","I_d",2549.639,2.549639,"0HW","20"
"A1","B_f",6412.039,6.412039,"0HW","20"
"A1","A_d",2006.854,2.006854,"0HW","20"
"A1","G_d",3174.071,3.174071,"0HW","20"
"A1","I_d",3172.841,3.172841,"0HW","20"
"A1","B_f",6091.912,6.091912,"0HW","20"
"A1","A_d",6079.748,6.079748,"0HW","20"
"A1","G_d",3720.431,3.720431,"0HW","20"
"A1","I_d",1662.104,1.662104,"0HW","20"
"A1","B_f",1268.365,1.268365,"0HW","20"
"A1","A_d",3040.021,3.040021,"0HW","20"
"A1","G_d",3832.823,3.832823,"0HW","20"
"A1","I_d",2407.13,2.40713,"0HW","20"
"A1","B_f",739.087,0.739087,"0HW","20"
"A1","A_d",3861.808,3.861808,"0HW","20"
"A1","G_d",3153.976,3.153976,"0HW","20"
"A1","I_d",3292.941,3.292941,"0HW","20"
"A1","B_f",1801.709,1.801709,"0HW","20"
"A1","A_d",4429.272,4.429272,"0HW","20"
"A1","G_d",3754.395,3.754395,"0HW","20"
"A1","I_d",2001.271,2.001271,"0HW","20"
"A1","B_f",952.435,0.952435,"0HW","20"
"A1","A_d",2133.099,2.133099,"0HW","20"
"A1","G_d",3606.213,3.606213,"0HW","20"
"A1","I_d",2309.932,2.309932,"0HW","20"
"A1","B_f",1502.807,1.502807,"0HW","20"
"A1","A_d",4147.455,4.147455,"0HW","20"
"A1","G_d",4933.957,4.933957,"0HW","20"
"A1","I_d",3136.252,3.136252,"0HW","20"
"A1","B_f",1909.8,1.9098,"0HW","20"
"A1","A_d",2936.799,2.936799,"0HW","20"
"A1","G_d",2708.563,2.708563,"0HW","20"
"A1","I_d",2168.127,2.168127,"0HW","20"
"A1","B_f",2544.309,2.544309,"0HW","20"
"A1","A_d",3602.38,3.60238,"0HW","20"
"A1","G_d",2952.18,2.95218,"0HW","20"
"A1","I_d",2400.891,2.400891,"0HW","20"
"A1","B_f",3494.028,3.494028,"0HW","20"
"A1","A_d",4375.607,4.375607,"0HW","20"
"A1","G_d",1679.656,1.679656,"0HW","20"
"A1","I_d",3416.144,3.416144,"0HW","20"
"A1","B_f",4439.87,4.43987,"0HW","20"
"A1","A_d",3682.776,3.682776,"0HW","20"
"A1","G_d",4201.099,4.201099,"0HW","20"
"A1","I_d",3244.319,3.244319,"0HW","20"
"A1","B_f",1047.367,1.047367,"0HW","20"
"A1","A_d",2318.094,2.318094,"0HW","20"
"A1","G_d",4577.608,4.577608,"0HW","20"
"A1","I_d",2173.72,2.17372,"0HW","20"
"A1","B_f",3995.656,3.995656,"0HW","20"
"A1","A_d",3743.702,3.743702,"0HW","20"
"A1","G_d",4339.503,4.339503,"0HW","20"
"A1","I_d",1556.807,1.556807,"0HW","20"
"A1","B_f",1619.811,1.619811,"0HW","20"
"A1","A_d",4602.411,4.602411,"0HW","20"
"A1","G_d",3949.275,3.949275,"0HW","20"
"A1","I_d",2350.285,2.350285,"0HW","20"
"A1","B_f",3622.874,3.622874,"0HW","20"
"A1","A_d",3268.383,3.268383,"0HW","20"
"A1","G_d",3874.823,3.874823,"0HW","20"
"A1","B_f",5925.405,5.925405,"0HW","20"
"A1","A_d",3678.959,3.678959,"0HW","20"
"A1","G_d",4236.494,4.236494,"0HW","20"
"A1","B_f",946.304,0.946304,"0HW","20"
"A1","A_d",3307.379,3.307379,"0HW","20"
"A1","G_d",4198.914,4.198914,"0HW","20"
"A1","B_f",2243.06,2.24306,"0HW","20"
"A1","A_d",3852.66,3.85266,"0HW","20"
"A1","G_d",3874.592,3.874592,"0HW","20"
"A1","B_f",2133.91,2.13391,"0HW","20"
"A1","A_d",3618.17,3.61817,"0HW","20"
"A1","G_d",4303.187,4.303187,"0HW","20"
"A1","B_f",2215.342,2.215342,"0HW","20"
"A1","A_d",1923.602,1.923602,"0HW","20"
"A1","G_d",1907.337,1.907337,"0HW","20"
"A1","B_f",911.601,0.911601,"0HW","20"
"A1","A_d",4948.775,4.948775,"0HW","20"
"A1","G_d",3902.916,3.902916,"0HW","20"
"A1","B_f",1977.979,1.977979,"0HW","20"
"A1","A_d",4275.042,4.275042,"0HW","20"
"A1","G_d",3685.729,3.685729,"0HW","20"
"A1","B_f",3190.181,3.190181,"0HW","20"
"A1","A_d",3075.437,3.075437,"0HW","20"
"A1","G_d",3973.857,3.973857,"0HW","20"
"A1","B_f",1021.395,1.021395,"0HW","20"
"A1","A_d",2387.958,2.387958,"0HW","20"
"A1","G_d",3867.652,3.867652,"0HW","20"
"A1","B_f",2416.505,2.416505,"0HW","20"
"A1","A_d",3260.154,3.260154,"0HW","20"
"A1","G_d",4762.175,4.762175,"0HW","20"
"A1","B_f",1398.642,1.398642,"0HW","20"
"A1","A_d",3492.236,3.492236,"0HW","20"
"A1","G_d",4129.237,4.129237,"0HW","20"
"A1","B_f",7288.537,7.288537,"0HW","20"
"A1","A_d",3551.766,3.551766,"0HW","20"
"A1","G_d",3129.535,3.129535,"0HW","20"
"A1","B_f",1245.388,1.245388,"0HW","20"
"A1","A_d",4131.536,4.131536,"0HW","20"
"A1","G_d",2760.63,2.76063,"0HW","20"
"A1","B_f",1513.051,1.513051,"0HW","20"
"A1","A_d",3782.832,3.782832,"0HW","20"
"A1","G_d",4095.43,4.09543,"0HW","20"
"A1","B_f",5476.313,5.476313,"0HW","20"
"A1","A_d",3693.5,3.6935,"0HW","20"
"A1","G_d",6497.808,6.497808,"0HW","20"
"A1","B_f",1572.261,1.572261,"0HW","20"
"A1","A_d",3504.778,3.504778,"0HW","20"
"A1","G_d",7354.097,7.354097,"0HW","20"
"A1","B_f",975.428,0.975428,"0HW","20"
"A1","A_d",4324.922,4.324922,"0HW","20"
"A1","G_d",3155.395,3.155395,"0HW","20"
"A1","B_f",1145.184,1.145184,"0HW","20"
"A1","A_d",3526.299,3.526299,"0HW","20"
"A1","G_d",7096.933,7.096933,"0HW","20"
"A1","B_f",1996.23,1.99623,"0HW","20"
"A1","A_d",4758.752,4.758752,"0HW","20"
"A1","G_d",3741.493,3.741493,"0HW","20"
"A1","B_f",1402.638,1.402638,"0HW","20"
"A1","A_d",3346.514,3.346514,"0HW","20"
"A1","G_d",1617.045,1.617045,"0HW","20"
"A1","B_f",1176.047,1.176047,"0HW","20"
"A1","A_d",3189.218,3.189218,"0HW","20"
"A1","G_d",4001.031,4.001031,"0HW","20"
"A1","B_f",1568.126,1.568126,"0HW","20"
"A1","A_d",3667.098,3.667098,"0HW","20"
"A1","G_d",4080.425,4.080425,"0HW","20"
"A1","B_f",4474.577,4.474577,"0HW","20"
"A1","A_d",3825.68,3.82568,"0HW","20"
"A1","G_d",3263.034,3.263034,"0HW","20"
"A1","B_f",1811.622,1.811622,"0HW","20"
"A1","A_d",3960.775,3.960775,"0HW","20"
"A1","G_d",3379.312,3.379312,"0HW","20"
"A1","B_f",5079.502,5.079502,"0HW","20"
"A1","A_d",2536.313,2.536313,"0HW","20"
"A1","G_d",4830.833,4.830833,"0HW","20"
"A1","B_f",2182.867,2.182867,"0HW","20"
"A1","A_d",3427.027,3.427027,"0HW","20"
"A1","G_d",4389.565,4.389565,"0HW","20"
"A1","B_f",1923.583,1.923583,"0HW","20"
"A1","A_d",3073.639,3.073639,"0HW","20"
"A1","G_d",5176.291,5.176291,"0HW","20"
"A1","B_f",8544.711,8.544711,"0HW","20"
"A1","A_d",5319.148,5.319148,"0HW","20"
"A1","G_d",3375.866,3.375866,"0HW","20"
"A1","B_f",1480.595,1.480595,"0HW","20"
"A1","A_d",5074.014,5.074014,"0HW","20"
"A1","G_d",5768.963,5.768963,"0HW","20"
"A1","B_f",5394.763,5.394763,"0HW","20"
"A1","A_d",3374.333,3.374333,"0HW","20"
"A1","G_d",3392.536,3.392536,"0HW","20"
"A1","B_f",1257.018,1.257018,"0HW","20"
"A1","A_d",3304.561,3.304561,"0HW","20"
"A1","G_d",3430.336,3.430336,"0HW","20"
"A1","B_f",1303.703,1.303703,"0HW","20"
"A1","A_d",3572.645,3.572645,"0HW","20"
"A1","G_d",3688.705,3.688705,"0HW","20"
"A1","B_f",8456.855,8.456855,"0HW","20"
"A1","A_d",3896.383,3.896383,"0HW","20"
"A1","G_d",4631.382,4.631382,"0HW","20"
"A1","B_f",2260.558,2.260558,"0HW","20"
"A1","A_d",2310.712,2.310712,"0HW","20"
"A1","G_d",2133.071,2.133071,"0HW","20"
"A1","B_f",1856.3,1.8563,"0HW","20"
"A1","A_d",3355.226,3.355226,"0HW","20"
"A1","G_d",4008.801,4.008801,"0HW","20"
"A1","B_f",1334.423,1.334423,"0HW","20"
"A1","A_d",3594.013,3.594013,"0HW","20"
"A1","G_d",1427.791,1.427791,"0HW","20"
"A1","B_f",1385.132,1.385132,"0HW","20"
"A1","A_d",3642.628,3.642628,"0HW","20"
"A1","G_d",4338.006,4.338006,"0HW","20"
"A1","B_f",929.596,0.929596,"0HW","20"
"A1","A_d",3522.534,3.522534,"0HW","20"
"A1","G_d",4424.464,4.424464,"0HW","20"
"A1","B_f",1093.176,1.093176,"0HW","20"
"A1","A_d",3979.003,3.979003,"0HW","20"
"A1","G_d",3577.042,3.577042,"0HW","20"
"A1","B_f",2746.728,2.746728,"0HW","20"
"A1","A_d",3929.671,3.929671,"0HW","20"
"A1","G_d",4557.414,4.557414,"0HW","20"
"A1","B_f",2077.563,2.077563,"0HW","20"
"A1","A_d",4786.225,4.786225,"0HW","20"
"A1","G_d",3556.454,3.556454,"0HW","20"
"A1","B_f",7783.717,7.783717,"0HW","20"
"A1","A_d",3302.933,3.302933,"0HW","20"
"A1","G_d",4088.482,4.088482,"0HW","20"
"A1","B_f",1079.989,1.079989,"0HW","20"
"A1","A_d",4322.714,4.322714,"0HW","20"
"A1","G_d",4042.059,4.042059,"0HW","20"
"A1","B_f",1251.306,1.251306,"0HW","20"
"A1","A_d",4317.525,4.317525,"0HW","20"
"A1","G_d",4101.439,4.101439,"0HW","20"
"A1","B_f",2228.34,2.22834,"0HW","20"
"A1","A_d",2992.977,2.992977,"0HW","20"
"A1","G_d",4867.95,4.86795,"0HW","20"
"A1","B_f",740.6,0.7406,"0HW","20"
"A1","A_d",4018.661,4.018661,"0HW","20"
"A1","G_d",4768.142,4.768142,"0HW","20"
"A1","B_f",7182.472,7.182472,"0HW","20"
"A1","A_d",4173.161,4.173161,"0HW","20"
"A1","G_d",4075.978,4.075978,"0HW","20"
"A1","B_f",1175.285,1.175285,"0HW","20"
"A1","A_d",3624.719,3.624719,"0HW","20"
"A1","G_d",3525.855,3.525855,"0HW","20"
"A1","B_f",1567.84,1.56784,"0HW","20"
"A1","A_d",3579.461,3.579461,"0HW","20"
"A1","G_d",3724.28,3.72428,"0HW","20"
"A1","B_f",1695.179,1.695179,"0HW","20"
"A1","A_d",4077.028,4.077028,"0HW","20"
"A1","G_d",3716.457,3.716457,"0HW","20"
"A1","B_f",1333.752,1.333752,"0HW","20"
"A1","A_d",3536.534,3.536534,"0HW","20"
"A1","G_d",5798.303,5.798303,"0HW","20"
"A1","B_f",4518.738,4.518738,"0HW","20"
"A1","A_d",2183.858,2.183858,"0HW","20"
"A1","G_d",5630.946,5.630946,"0HW","20"
"A1","B_f",4189.146,4.189146,"0HW","20"
"A1","A_d",4517.23,4.51723,"0HW","20"
"A1","G_d",4240.086,4.240086,"0HW","20"
"A1","B_f",1147.528,1.147528,"0HW","20"
"A1","A_d",3314.483,3.314483,"0HW","20"
"A1","G_d",3159.366,3.159366,"0HW","20"
"A1","B_f",1572.83,1.57283,"0HW","20"
"A1","A_d",3824.225,3.824225,"0HW","20"
"A1","G_d",4400.568,4.400568,"0HW","20"
"A1","B_f",1837.39,1.83739,"0HW","20"
"A1","A_d",2606.717,2.606717,"0HW","20"
"A1","G_d",3245.698,3.245698,"0HW","20"
"A1","B_f",1345.783,1.345783,"0HW","20"
"A1","A_d",2259.501,2.259501,"0HW","20"
"A1","G_d",4078.614,4.078614,"0HW","20"
"A1","B_f",846.929,0.846929,"0HW","20"
"A1","A_d",2700.867,2.700867,"0HW","20"
"A1","G_d",4122.672,4.122672,"0HW","20"
"A1","B_f",1749.127,1.749127,"0HW","20"
"A1","A_d",3013.888,3.013888,"0HW","20"
"A1","G_d",3709.294,3.709294,"0HW","20"
"A1","B_f",5354.149,5.354149,"0HW","20"
"A1","A_d",4786.722,4.786722,"0HW","20"
"A1","G_d",3764.161,3.764161,"0HW","20"
"A1","B_f",6520.062,6.520062,"0HW","20"
"A1","A_d",4002.245,4.002245,"0HW","20"
"A1","G_d",2660.528,2.660528,"0HW","20"
"A1","B_f",1078.33,1.07833,"0HW","20"
"A1","A_d",2926.274,2.926274,"0HW","20"
"A1","G_d",4448.635,4.448635,"0HW","20"
"A1","B_f",6294.451,6.294451,"0HW","20"
"A1","A_d",3492.329,3.492329,"0HW","20"
"A1","G_d",4402.602,4.402602,"0HW","20"
"A1","B_f",5137.394,5.137394,"0HW","20"
"A1","A_d",3955.149,3.955149,"0HW","20"
"A1","G_d",4773.023,4.773023,"0HW","20"
"A1","B_f",5547.069,5.547069,"0HW","20"
"A1","A_d",5009.495,5.009495,"0HW","20"
"A1","G_d",3656.519,3.656519,"0HW","20"
"A1","B_f",1498.779,1.498779,"0HW","20"
"A1","A_d",3826.078,3.826078,"0HW","20"
"A1","G_d",3768.263,3.768263,"0HW","20"
"A1","B_f",2008.863,2.008863,"0HW","20"
"A1","A_d",2922.569,2.922569,"0HW","20"
"A1","G_d",2859.733,2.859733,"0HW","20"
"A1","B_f",1044.584,1.044584,"0HW","20"
"A1","A_d",3717.206,3.717206,"0HW","20"
"A1","G_d",5376.681,5.376681,"0HW","20"
"A1","B_f",2382.733,2.382733,"0HW","20"
"A1","A_d",4031.67,4.03167,"0HW","20"
"A1","G_d",3886.534,3.886534,"0HW","20"
"A1","B_f",2375.393,2.375393,"0HW","20"
"A1","A_d",5680.453,5.680453,"0HW","20"
"A1","G_d",3034.081,3.034081,"0HW","20"
"A1","B_f",1579.222,1.579222,"0HW","20"
"A1","A_d",3713.499,3.713499,"0HW","20"
"A1","G_d",1346.614,1.346614,"0HW","20"
"A1","B_f",1781.089,1.781089,"0HW","20"
"A1","A_d",3650.591,3.650591,"0HW","20"
"A1","G_d",1412.499,1.412499,"0HW","20"
"A1","B_f",2010.645,2.010645,"0HW","20"
"A1","A_d",4311.173,4.311173,"0HW","20"
"A1","G_d",1655.356,1.655356,"0HW","20"
"A1","B_f",1282.408,1.282408,"0HW","20"
"A1","A_d",4046.59,4.04659,"0HW","20"
"A1","G_d",1681.787,1.681787,"0HW","20"
"A1","B_f",1317.029,1.317029,"0HW","20"
"A1","A_d",4543.945,4.543945,"0HW","20"
"A1","G_d",3792.838,3.792838,"0HW","20"
"A1","B_f",4418.338,4.418338,"0HW","20"
"A1","A_d",4478.694,4.478694,"0HW","20"
"A1","G_d",2052.629,2.052629,"0HW","20"
"A1","B_f",1976.167,1.976167,"0HW","20"
"A1","A_d",4458.704,4.458704,"0HW","20"
"A1","G_d",3205.513,3.205513,"0HW","20"
"A1","B_f",1544.825,1.544825,"0HW","20"
"A1","A_d",3169.308,3.169308,"0HW","20"
"A1","G_d",1415.824,1.415824,"0HW","20"
"A1","B_f",1315.669,1.315669,"0HW","20"
"A1","A_d",4615.766,4.615766,"0HW","20"
"A1","G_d",3229.241,3.229241,"0HW","20"
"A1","B_f",4295.949,4.295949,"0HW","20"
"A1","A_d",3804.056,3.804056,"0HW","20"
"A1","G_d",2774.22,2.77422,"0HW","20"
"A1","B_f",6784.478,6.784478,"0HW","20"
"A1","A_d",3085.101,3.085101,"0HW","20"
"A1","G_d",5177.805,5.177805,"0HW","20"
"A1","B_f",915.766,0.915766,"0HW","20"
"A1","A_d",2513.195,2.513195,"0HW","20"
"A1","G_d",2411.219,2.411219,"0HW","20"
"A1","B_f",5177.07,5.17707,"0HW","20"
"A1","A_d",3814.215,3.814215,"0HW","20"
"A1","G_d",3760.591,3.760591,"0HW","20"
"A1","B_f",1782.094,1.782094,"0HW","20"
"A1","A_d",2681.521,2.681521,"0HW","20"
"A1","G_d",2556.773,2.556773,"0HW","20"
"A1","B_f",3567.202,3.567202,"0HW","20"
"A1","A_d",3237.699,3.237699,"0HW","20"
"A1","G_d",5087.209,5.087209,"0HW","20"
"A1","B_f",6389.759,6.389759,"0HW","20"
"A1","A_d",3173.789,3.173789,"0HW","20"
"A1","G_d",4215.463,4.215463,"0HW","20"
"A1","B_f",1792.116,1.792116,"0HW","20"
"A1","A_d",4444.926,4.444926,"0HW","20"
"A1","G_d",3766.539,3.766539,"0HW","20"
"A1","B_f",1564.267,1.564267,"0HW","20"
"A1","A_d",5476.033,5.476033,"0HW","20"
"A1","G_d",3780.777,3.780777,"0HW","20"
"A1","B_f",4542.456,4.542456,"0HW","20"
"A1","A_d",4152.132,4.152132,"0HW","20"
"A1","G_d",5056.177,5.056177,"0HW","20"
"A1","B_f",2670.607,2.670607,"0HW","20"
"A1","A_d",3066.698,3.066698,"0HW","20"
"A1","G_d",4299.595,4.299595,"0HW","20"
"A1","B_f",2357.228,2.357228,"0HW","20"
"A1","A_d",4386.575,4.386575,"0HW","20"
"A1","G_d",3388.839,3.388839,"0HW","20"
"A1","B_f",2033.563,2.033563,"0HW","20"
"A1","A_d",4089.09,4.08909,"0HW","20"
"A1","G_d",4437.147,4.437147,"0HW","20"
"A1","B_f",1879.313,1.879313,"0HW","20"
"A1","A_d",4372.266,4.372266,"0HW","20"
"A1","G_d",4117.999,4.117999,"0HW","20"
"A1","B_f",7062.497,7.062497,"0HW","20"
"A1","A_d",3068.448,3.068448,"0HW","20"
"A1","G_d",7400.103,7.400103,"0HW","20"
"A1","B_f",1202.402,1.202402,"0HW","20"
"A1","A_d",3785.451,3.785451,"0HW","20"
"A1","G_d",3516.637,3.516637,"0HW","20"
"A1","B_f",935.358,0.935358,"0HW","20"
"A1","A_d",4602.221,4.602221,"0HW","20"
"A1","G_d",4031.799,4.031799,"0HW","20"
"A1","B_f",1807.911,1.807911,"0HW","20"
"A1","A_d",3955.154,3.955154,"0HW","20"
"A1","G_d",4563.746,4.563746,"0HW","20"
"A1","B_f",1609.412,1.609412,"0HW","20"
"A1","A_d",3050.429,3.050429,"0HW","20"
"A1","G_d",3948.481,3.948481,"0HW","20"
"A1","B_f",3120.293,3.120293,"0HW","20"
"A1","A_d",3752.263,3.752263,"0HW","20"
"A1","G_d",3705.901,3.705901,"0HW","20"
"A1","B_f",1886.21,1.88621,"0HW","20"
"A1","A_d",3127.229,3.127229,"0HW","20"
"A1","G_d",4156.473,4.156473,"0HW","20"
"A1","B_f",1496.537,1.496537,"0HW","20"
"A1","A_d",3385.455,3.385455,"0HW","20"
"A1","G_d",3479.839,3.479839,"0HW","20"
"A1","B_f",958.06,0.95806,"0HW","20"
"A1","A_d",3567.484,3.567484,"0HW","20"
"A1","G_d",1794.613,1.794613,"0HW","20"
"A1","B_f",4130.592,4.130592,"0HW","20"
"A1","A_d",2524.272,2.524272,"0HW","20"
"A1","G_d",2853.463,2.853463,"0HW","20"
"A1","B_f",908.649,0.908649,"0HW","20"
"A1","A_d",3913.425,3.913425,"0HW","20"
"A1","G_d",3660.741,3.660741,"0HW","20"
"A1","B_f",1296.989,1.296989,"0HW","20"
"A1","A_d",3942.803,3.942803,"0HW","20"
"A1","G_d",5551.869,5.551869,"0HW","20"
"A1","B_f",1136.55,1.13655,"0HW","20"
"A1","A_d",4034.219,4.034219,"0HW","20"
"A1","G_d",2336.528,2.336528,"0HW","20"
"A1","B_f",1250.053,1.250053,"0HW","20"
"A1","A_d",4664.472,4.664472,"0HW","20"
"A1","G_d",1334.423,1.334423,"0HW","20"
"A1","B_f",3582.545,3.582545,"0HW","20"
"A1","A_d",4274.506,4.274506,"0HW","20"
"A1","G_d",3034.155,3.034155,"0HW","20"
"A1","B_f",1242.688,1.242688,"0HW","20"
"A1","A_d",3863.357,3.863357,"0HW","20"
"A1","G_d",1937.151,1.937151,"0HW","20"
"A1","B_f",1911.909,1.911909,"0HW","20"
"A1","A_d",3580.749,3.580749,"0HW","20"
"A1","G_d",1566.698,1.566698,"0HW","20"
"A1","B_f",2024.405,2.024405,"0HW","20"
"A1","A_d",2314.215,2.314215,"0HW","20"
"A1","G_d",3571.968,3.571968,"0HW","20"
"A1","B_f",805.193,0.805193,"0HW","20"
"A1","A_d",4280.301,4.280301,"0HW","20"
"A1","G_d",1499.377,1.499377,"0HW","20"
"A1","B_f",4875.67,4.87567,"0HW","20"
"A1","A_d",3066.98,3.06698,"0HW","20"
"A1","G_d",4644.512,4.644512,"0HW","20"
"A1","B_f",6451.718,6.451718,"0HW","20"
"A1","A_d",3836.12,3.83612,"0HW","20"
"A1","G_d",4464.409,4.464409,"0HW","20"
"A1","B_f",852.987,0.852987,"0HW","20"
"A1","A_d",3137.224,3.137224,"0HW","20"
"A1","G_d",3623.245,3.623245,"0HW","20"
"A1","B_f",792.3,0.7923,"0HW","20"
"A1","A_d",4011.315,4.011315,"0HW","20"
"A1","G_d",5540.567,5.540567,"0HW","20"
"A1","B_f",8171.076,8.171076,"0HW","20"
"A1","A_d",3689.426,3.689426,"0HW","20"
"A1","G_d",7084.082,7.084082,"0HW","20"
"A1","B_f",1892.608,1.892608,"0HW","20"
"A1","A_d",3295.417,3.295417,"0HW","20"
"A1","G_d",2860.438,2.860438,"0HW","20"
"A1","B_f",6297.331,6.297331,"0HW","20"
