"species","taxa","tank","treat","B","alpha","PB","RB","P","R","G","C","E"
"Idotea balthica","I_o","F2","1HW",31.432683246621,0.8488,0.0657879478710549,0.0456308769734951,2.06789172687608,1.4343009021734,3.50219262904949,4.1260516364862,0.623859007436714
"Littorina littorea","G_h","A1","0HW",488.329841670559,0.9043,0.0154,0.0358454370765705,7.52027956172661,17.5043966122137,25.0246761739403,27.6729803980319,2.64830422409166
"Littorina littorea","G_h","A2","0HW",748.38960834729,0.9043,0.0154,0.0369170628093855,11.5251999685483,27.6283461772483,39.1535461457966,43.2970763527553,4.14353020695868
"Littorina littorea","G_h","B2","3HW",491.387936566665,0.9043,0.0165,0.0421050783465454,8.10790095334997,20.6899275676867,28.7978285210367,31.8454368252092,3.04760830417252
"Littorina littorea","G_h","C1","1HW",155.141301849055,0.9043,0.0165,0.0358443319489041,2.55983148050941,5.56093632246265,8.12076780297206,8.98017007958869,0.859402276616638
"Littorina littorea","G_h","C2","1HW",259.870534742097,0.9043,0.0165,0.0876224661184081,4.2878638232446,22.770497125612,27.0583609488566,29.9218853796932,2.86352443083664
"Littorina littorea","G_h","D1","0HW",182.219880759779,0.9043,0.0154,0.0324781303953091,2.80618616370059,5.91816104793377,8.72434721163436,9.64762491610568,0.923277704471314
"Littorina littorea","G_h","D2","0HW",406.028264338143,0.9043,0.0154,0.0357551998641782,6.25283527080741,14.5176217419157,20.7704570127231,22.9685469564559,2.19808994373283
"Littorina littorea","G_h","E1","3HW",867.695222585032,0.9043,0.0165,0.0235030248340466,14.316971172653,20.3934623647996,34.7104335374527,38.3837593027233,3.67332576527062
"Littorina littorea","G_h","E2","3HW",980.505235766667,0.9043,0.0165,0.0114383819395768,16.17833639015,11.2153933804539,27.3937297706039,30.2927455165364,2.89901574593254
"Littorina littorea","G_h","F1","1HW",426.118802632813,0.9043,0.0165,0.0574601172045715,7.03096024344141,24.4848363423531,31.5157965857945,34.8510412316648,3.33524464587032
"Littorina littorea","G_h","F2","1HW",331.635760747239,0.9043,0.0165,0.13665734619621,5.47199005232944,45.3204629674787,50.7924530198082,56.1677021119188,5.37524909211063
